央视,#genre#
湖南娱乐,http://192.168.25.3:50101/TVOD/6427893650335440392/hnbblive/index.m3u8
江苏财富天下,http://192.168.25.3:50101/TVOD/2000000002000000069/hnbblive/index.m3u8$3.5M540_湖南bblive
山东教育卫视,http://192.168.25.3:50101/TVOD/2000000003000000013/hnbblive/index.m3u8$1.5M576_湖南bblive
上海第一财经,http://192.168.25.3:50101/TVOD/2000000002000000004/hnbblive/index.m3u8$2.5M720_湖南bblive
上海东方财经,http://192.168.25.3:50101/TVOD/2000000002000000090/hnbblive/index.m3u8$6.8M1080_湖南bblive
上海东方影视,http://192.168.25.3:50101/TVOD/2000000002000000013/hnbblive/index.m3u8$2.5M720_湖南bblive
上海都市,http://192.168.25.3:50101/TVOD/2000000002000000012/hnbblive/index.m3u8$2.5M720_湖南bblive
上海法治天地,http://192.168.25.3:50101/TVOD/2000000002000000014/hnbblive/index.m3u8$7M1080_湖南bblive
上海五星体育,http://192.168.25.3:50101/TVOD/2000000002000000007/hnbblive/index.m3u8$2.5M720_湖南bblive
上海新闻综合,http://192.168.25.3:50101/TVOD/2000000002000000005/hnbblive/index.m3u8$2.5M576_湖南bblive
新海南,http://192.168.25.3:50101/TVOD/2000000003000000011/hnbblive/index.m3u8$2.5M720_湖南bblive
浙江教科影视,http://192.168.25.3:50101/TVOD/2000000004000000001/hnbblive/index.m3u8$1.8M576_湖南bblive
BTV-重温经典,http://192.168.25.3:35455/bptv/10000100000000050000000003887494.m3u8
北京IPTV4K,http://192.168.25.3:35455/bptv/10000100000000050000000003887500.m3u8
北京体育休闲-4K,http://192.168.25.3:35455/bptv/10000100000000050000000004270525.m3u8
北京体育休闲,http://192.168.25.3:35455/bptv/10000100000000050000000003870779.m3u8
北京新闻,http://192.168.25.3:35455/bptv/10000100000000050000000003870780.m3u8

NEWTV,#genre#

NewTV爱情喜剧,http://192.168.25.3:50101/TVOD/2000000003000000010/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV超级电视剧,http://192.168.25.3:50101/TVOD/2000000003000000032/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV超级电影,http://192.168.25.3:50101/TVOD/2000000003000000031/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV超级体育,http://192.168.25.3:50101/TVOD/2000000003000000030/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV超级综艺,http://192.168.25.3:50101/TVOD/2000000003000000029/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV潮妈辣婆,http://192.168.25.3:50101/TVOD/2000000003000000018/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV东北热剧,http://192.168.25.3:50101/TVOD/2000000003000000051/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV动作电影,http://192.168.25.3:50101/TVOD/2000000003000000017/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV古装剧场,http://192.168.25.3:50101/TVOD/2000000003000000024/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV欢乐剧场,http://192.168.25.3:50101/TVOD/2000000003000000050/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV家庭剧场,http://192.168.25.3:50101/TVOD/2000000003000000012/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV金牌综艺,http://192.168.25.3:50101/TVOD/2000000003000000005/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV惊悚悬疑,http://192.168.25.3:50101/TVOD/2000000003000000015/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV精品大剧,http://192.168.25.3:50101/TVOD/2000000003000000020/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV精品记录,http://192.168.25.3:50101/TVOD/2000000003000000019/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV精品萌宠,http://192.168.25.3:50101/TVOD/2000000003000000067/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV精品体育,http://192.168.25.3:50101/TVOD/2000000003000000021/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV精品综合,http://192.168.25.3:50101/TVOD/2000000003000000008/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV军旅剧场,http://192.168.25.3:50101/TVOD/2000000003000000014/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV军事评论,http://192.168.25.3:50101/TVOD/2000000003000000022/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV魅力潇湘,http://192.168.25.3:50101/TVOD/2000000003000000041/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV明星大片,http://192.168.25.3:50101/TVOD/2000000003000000016/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV农业致富,http://192.168.25.3:50101/TVOD/2000000003000000003/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV武博世界,http://192.168.25.3:50101/TVOD/2000000003000000007/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV炫舞未来,http://192.168.25.3:50101/TVOD/2000000003000000044/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV怡伴健康,http://192.168.25.3:50101/TVOD/2000000003000000023/hnbblive/index.m3u8$4M1080_湖南bblive
NewTV中国功夫,http://192.168.25.3:50101/TVOD/2000000003000000009/hnbblive/index.m3u8$4M1080_湖南bblive

Hot,#genre#

Hot风尚音乐,http://192.168.25.3:50101/TVOD/2000000004000000004/hnbblive/index.m3u8$2.5M720_湖南bblive
Hot风尚音乐,http://192.168.25.3:50101/TVOD/5529729098703832176/wasusyt/index.m3u8$2.5M720_华数
Hot精品剧场,http://192.168.25.3:50101/TVOD/2000000004000000002/hnbblive/index.m3u8$2.5M720_湖南bblive
Hot精品剧场,http://192.168.25.3:50101/TVOD/8230197131234717902/wasusyt/index.m3u8$2.5M720_华数
Hot欧美影院,http://192.168.25.3:50101/TVOD/2000000004000000005/hnbblive/index.m3u8$2.5M720_湖南bblive
Hot欧美影院,http://192.168.25.3:50101/TVOD/7185203501769528108/wasusyt/index.m3u8$2.5M720_华数
Hot亚洲影院,http://192.168.25.3:50101/TVOD/2000000004000000006/hnbblive/index.m3u8$2.5M720_湖南bblive
Hot亚洲影院,http://192.168.25.3:50101/TVOD/5841816227539527643/wasusyt/index.m3u8$2.5M720_华数、

SiTV,#genre#

SiTV动漫秀场,http://192.168.25.3:50101/TVOD/2000000002000000009/hnbblive/index.m3u8$2.5M576_湖南bblive
SiTV都市剧场,http://192.168.25.3:50101/TVOD/2000000002000000015/hnbblive/index.m3u8$2.5M576_湖南bblive
